surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
goals.editor.large	993d72ddf92032fc4df3e6c0e5fa32bc97199d4253f01488d8fc1a420da8749f	198434	159b04f150f432bb46a41ef1cdef384f0151ceb88dc979a7abcdf896d3ed47cc	28895
goals.elapsed-reset	9d35b5854b8a3d2682907509fc4f330c4945083051db2dca3a5ffe91538d84d0	143196	8e8f5901371b46c3567d87af233428823bb9ccfaf8520b488ea10283c1a765f2	24619
goals.measurement.large	824cd96b488ae3d4f2612e167594f0fc20afb78a94034bcaa3ceaa9abdc85861	116004	aebf1a390c0cf7162bc053b324ece5e8e6f1f5b3e45e7e3005057bcdd46f9fc6	25382
gym.531.cycle-review.large	f0fc70f1f16797757a8c9665f9ef3ebb7d6a356e0ea44dbd384c6500fa39d642	220295	99bbe5e62b1498d6a46a4d040c5c989ec5fb1c3bcac1d3b9186c626b5138aa3f	24476
gym.531.setup.large	cd5fae3391c2890f6e543696eca38c0d8b05218d80251510597fbed6ad7a1a95	203160	b7985313a1856885b39ffcd595d318353d271bd9300715b16340a87461aa5a50	23527
gym.exercise.delete-retry.large	0b5bc3d558b6bfeb2f93cfb5c7bb718c2777da74f54d63faa4a55a83a86b29c8	200151	6f78990d5f3ea01244b6f3324e444db5524e052291498ae8b2f9a377b460b16a	24726
gym.exercise.permanent-delete	a658ad6c3ffe13ef07958e353033f89d27f72e23ff52ca3e851f7f2326324cc4	173110	61e60d1eb6badd77a2590c84b6df4a1a23bfbef35d2c8afa1e8bb2798a592560	23921
gym.machine.delete-retry.large	6dfaf12c886e3004ed61110ba87728163de0d991819b3f2a4d017b4b4658e89c	100159	3ab9f8e700614b34214af59b13883555a12af39ac237f7d24baee18c38231029	22453
gym.machine.permanent-delete	d5d3e5eccc86ce4ce4533fcb4637b87abdcad29f9e2d3ba077aad543bc1bc327	162664	08a700e95354c61b6081bab5f066a13932ec94682f63db262b93dd6e27483f8f	22188
gym.workout.delete-blocked.large	abe14e3740e5b324a908b530786a14fa0a197b57c1a4304c2d93d41b640e4259	217581	9a0ae656e8058b82ca925c6d030598a84cbb877e9338342f9752135112198e0f	23615
habits.editor.large	a93a388f46899f3c593d94dba19fc7a94c04635e6df0e6d9cffd09a618f9bd51	205642	1960773d7e812f614f4e080bb7aeb5996dfec8654d95b509459d7a0ffe1b0925	29797
habits.inspector.today	4e3e612bb58cf5a994dda9baa44202e061125da0eefecaa99d297829a6f544a0	141401	3b71b5cc0f42f0c1d76893ba333d1efaa9cea600b46fc2a18526806d83fdcd6b	34154
habits.pause.large-error	1994bee40794ab2f4191564e33af25efc3d625c67059a5e5807b4b7f21bdfe58	189580	6bcad762bd58b9b1c076c7462f9b3f756fd07e8d8a606b767f4ddbdcd3e7df48	25147
organization.move-area.large	6ecc7de351439685a6c4135ea83f79c7046919a1ce75053f69b71f46693c81a2	97494	1b567e5dc93f37dfb2faf0448ca230e2c4f73bec8b6cec7f0e5cdafd1c25743f	20724
settings.custom-unit.large	67ecb4170fbdc9e0da3c4f2df74a4014acab2595467ac9a529f936e07d80307d	169315	bdf4b9850128e285c5b26b9365ef7bb48f5c9e6aa545172928093d6afb77cffd	103445
settings.delete-retry.large	5be8510c46b20fcb006902efa624d2b6226569f267f0756d820f5cb02e21d61c	67968	bad9ab4ceae69713989d02d1e3e52fffa2256e9cc96874edd519c4d088c32857	20290
settings.number-editor.discard-large	f012046061b2f04d6c497d7f672048f67d07ad9ea0738fcd63451b9356211ecd	99986	442d83229b9503a58840a7d29c12824fc5386651a780466556b625542318223b	19828
settings.number-editor.large	ff4240c47e53e29f29386e948d2ee7a63e5e82db20f0f3dd4b195426a52aa1b9	105181	72c10ddd5b757cec133034775a23dc36dc71b114b9942791027f780a9d8ff3b0	21968
settings.restore-confirm.large	1ca9b5aa7f4b43a5850fc9c46b4f78c7f5f211139292d0dc2042b36bca15c79f	203410	269664f9db74321e0fd68f5a4e45f3936b382f128cffb19518dc9821ef5dfdb2	21800
settings.restore-preview.large	e4f55631db3ced9730eb92ac7100520d32f53165374bfe5b7e4b1717f12f9a07	99232	80e5815af94879d0973e26366385a1b5df3a17993e1c3cf1e74730c01503df14	19871
shared.date-picker.large	56404caefe33f6f895df7d26f3bd1ac54a9018beed20e96e74d6b57570ee1861	129980	1586442e93ee1686f18df92e61162572f45851175163401c79006bce20ac6a62	37387
shared.first-run.welcome-large	ceab712f84c3872f4fb95c2e876bdb9e37c1b23baab6d1f2a737c00cf2599d47	201632	fc7480e975f1aaabffed86b981e742b8f9b6436dad7f9805673810651ca4a575	23966
tasks.batch-delete	a90aaa07c50b90b3c5989c307b8ca4a1218b8863ca89433ae22a03e4c2064c02	157496	b3f94fb28c2bf5c37251bf7e8a8b28a2e27c69dfa0c7a930b877322bb9fac9f9	22045
tasks.bulk-archive.large	dd0455d9cfb9b5cad6de3c2415d4dc606e2d872b29abb60be5ef3d4439bcdc7b	172765	38c94f6ec04956e68adb62f3cca00a19db38c1823a22938ce8bfca69923d9d33	21668
tasks.bulk-archive.single-large	932963ab478d0304595bec42c46ab8edf36099a7fc04c92063f7d6856fa4dd71	164609	922b655941b65cc7019bea0e58e92623d5aeabb7e34f9b76454dde4efed1ac33	21184
tasks.bulk-edit	709d9e88238b29893057c2a077f2ef78802ac0d9e2a4627471f23f0beeab5db8	211380	18faf6169e312c96fd3f5cd9d43d60e7c39942a04964bf54db191427770aa05d	29410
tasks.bulk-selection	c74462b8689eb825ef88f63b7528fafaf0fa8dd3cfba9e264bcce9d835b812ef	132363	78636ef3143879f3b1ab4eac9a3ca50970a1f35417c1de8c3e4df3d86d2acf15	56197
tasks.editor.large	052f2760d77dbe7298e2a74cfee20004d26a520ee5565b901c7405bff7134f8d	146920	6ccb44e3c5e710aefa306f1376fcfff505deb7b30d78ebd62b0b6efa84513265	31403
tasks.editor.shared-large	f08a57c9984b91141fb625af3cffb1896e74c89473b4f0edb43a4255b9a2e9aa	232358	edbcbef7ef355103a762cb9f585abf416897859e6c5c49e06d39aea074737b4e	99076
tasks.templates.extreme	b5045eb6983b214c2732bd2c75cf3c31bf45df104a55b3a2103fa53c1ce471b6	78421	bf32e72dbabdf2cb4e2ea87ee186850bbdf926a476ed6f42eddba11b41619d77	19024
tracks.csv-import	3fb05de0f11e764c5698194d87c74f15b97b09e6c7f3cd9e25f7f327b1a95cf7	96479	08da24602782fe32e3e42e30b84052ccaca1290dfbeec97da03726ae54d30f69	27657
tracks.csv-import.empty-large	f409ec808b62ade9126d8dd91f3142b81e371c58bcb5474e40772b59420cafa4	140789	2af4fba1c692e409164434a9ef475955565e483bf223bfea7e9628aba0b25cf9	28882
tracks.csv-import.frozen-large	437b0776914d66769183226a99f93b9bf0b8b85ace9ac1ff074135782c94cb8e	170740	b5456b5483802fcbc8c8e9c3c32d4eec747d672fa58f16c50c7d64fbcf6dc022	26764
tracks.definition-removal.large	3ccf594391d3b3c92e79dd5f6f5eac9ceff06a5bfe993b7b6bd99d6afdb97192	199422	a33e6c0cd4ae4a496ad67f4d83fba697a1e6c302940c5cfc0091438f989e5527	22106
