surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
platform.dialog.dark-on-light	6bf2edda2864b622217651e315978330ee545a006600419ea69c52a19798faf1	181679	6ac10904a6c0dc9b8f4ff15aee4a1f56703353230aae18437ad4e76fd6f84cf4	23964
platform.dialog.inspector-dark	9d7dd3e787b62b94dda07d8aba1bacd779a7f7a7ad8ed1e747e6348efce9f860	107554	ffdffcfe43f93865d8bc657d7e64160cf72d6495471d25a05b058929bcc0e268	32861
platform.dialog.inspector-light	5c9ef747b0744819777ea433d75d034b65e06ec443895a79a566163a9350a69c	110033	ffdffcfe43f93865d8bc657d7e64160cf72d6495471d25a05b058929bcc0e268	32861
platform.dialog.light-on-dark	0b16821e826c43bb54f2d181eba3c46b329e07aaa2ee34cfab86af9cc308bde1	180429	6ac10904a6c0dc9b8f4ff15aee4a1f56703353230aae18437ad4e76fd6f84cf4	23964
platform.dialog.primary-editor-dark	32a4811c913b81d5c48bdf26b6493c0d1fa6c36b20d3918b9ae3c4edb43ed3aa	164023	bab32cd6394a851f8d4a8de46bfc9463de3fdba172b0c8a7253e9bfa71d57f55	41309
platform.dialog.primary-editor-light	588c3f0e0db47279f82465305af86ac36e78bf74a0d8c94efa233dff4fe2e118	162520	bab32cd6394a851f8d4a8de46bfc9463de3fdba172b0c8a7253e9bfa71d57f55	41309
platform.dialog.search-dark	7df8e2635aec2af23eb4fa9a1653c05629f5c4701c2d553b4e76d2aa851b3bd0	62881	bfbe2333713682282c212e4ea1d56befed634279afcad9bcadd2bccac0b5158f	25614
platform.dialog.search-light	471151af84301ead4e85fc142d2c4039cea830ace2e8041f11504d793e779ebf	61786	bfbe2333713682282c212e4ea1d56befed634279afcad9bcadd2bccac0b5158f	25614
platform.dialog.task-editor-dark	7b0f32d151e2219e0dfece6bd755e640e490fadfac259bfbd4063f62682dd33f	156072	182ec5d54461c3fd91770e6e51b0a5af0bd89b2ccef110ee7245fa7ea37bf1c1	41026
platform.dialog.task-editor-light	8ff26be1cfa0d0d993b77c5616b635fc0756e3c8b733c808b30ec981574821f8	155242	182ec5d54461c3fd91770e6e51b0a5af0bd89b2ccef110ee7245fa7ea37bf1c1	41026
shared.search.native-filters-large	d569a9cad83f5649a4ea2e6de7a49795eff5212d5ba95239de5325cd76ee7ed5	177819	b1328410bad89dbd6357f8fa198c1d330f3e558b73b9cf04683fdf2d8165616e	109628
shared.search.native-large	a54c18f2debfefdf4cdbe8bd461c8817eff9dab47fa07d07b3c05fbf4709f418	164701	f7bea255a4f549ec6e154e0304b59dca6d4c197c1752bc2af6e8bb9d99ca56de	105068
shared.search.native-recreated-large	7783ac3479bc8886e112282f39ff0f23030f5e02b107487361831a1003790010	183571	9578d09a845378c006bce270d16987d01f577509bade2e8ac8275648b2cf3ccc	113186
tasks.editor.share-ime.large	2300058bcd548d76a3845b05927f297de6fbc4acd4a546d6ea20097a372678c2	193371	6fb0e55cd4b513b66f08fcadb58df93b77a813e0b07032f4e0f10c781c981677	103774
tasks.editor.share-ime.recreated-large	330d1be6edbb70cb78e7ef9fcb068a357ce19128949d65dfd6e72e32c58fd98c	193331	6fb0e55cd4b513b66f08fcadb58df93b77a813e0b07032f4e0f10c781c981677	103774
