surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tasks.quick-capture.native.large	4a3df647e7e178c594e04a493b55068dc73b6ca8636dfb34db130e71b2b0a3f8	180508	b54f722f674a783d518fab0efbc56420a91da805699cea0c1b69d8f90a1be4a5	103644
tasks.quick-capture.native.ordinary	f9d020ca8bbd59c82bff7a53dbc90c86ba1c812b0effeff4766b00c62a1aad58	144307	d2cbebf0c4a8a60e9a7f4a253378adb9ca1f363015c3b0b1b79316f1fc2f924b	103643
tracks.history.archived.large	cfbfde8994890b942ce2cef3db453ffd8cf231fb57c41a1b9fd1bc426fd5afa2	204621	8f9b9869827ed00c2d30590040276c923d532ed06ac20c0d8e7449f3f3b212c8	62880
tracks.history.archived.ordinary	c19581c602f0d9352781ae48fce03b73ca132c71c3985460fba0b8e0d950f40e	179121	bc2277d23f50a5f6987b8795217dc455cfc4fff28c482bb486e6a3617907ce77	67213
tracks.history.inspector.large	75a50d5a91516a3ce0a0ce5032d1e55635c55aed12accde2779aecaa629be73c	138259	1026b2c2d116000a9a2ce06ced40a722f5f8e6457c655e7ee532f1a8d3b477e2	22499
tracks.history.inspector.ordinary	c4555d60b27369df69eeefc31055afae7b063e02bc641570d18bfb48ec93c714	108928	5a3621b52f496bd980b0541f30e514b1d32543f5aaf07d25266b907074e4e4b1	22493
tracks.history.records.large	af41df6dcf78c40245c4bd51ec08881879cfa55910115403450101a4daadc191	226648	db8bd5f773674734f82b759b4f0e9935a20cf54342d91d01b488d8e6d7253e54	61965
tracks.history.records.ordinary	06838f584874c9e6d1fc6a3ede0ca399345730c16f2a2d06ae2ba8c322f461eb	188421	ce3d44fcbcc8d581c4b3c06923a18094d5e8521d4bc968193a1d4eede15355cf	66709
tracks.history.search-result.large	09255d27c4a25e08d1e5a6e665d13bf89ce3aa75fc039193d6693d715805d3a7	188488	e829ec6c675e23f9c0568fb8a1da71b77a0c07c77e16a12b1602eb5cf9cc2d2d	63725
tracks.history.search-result.ordinary	01ac54e63cd200859e0e598644afa24bcaa1224fe4e034aa7a4dcf03ced95cac	111292	0de85e735ce358724b291c5c39d7c10a96ffec3d3df9fc2e2bf04e47c0605002	63727
tracks.history.search.large	81e50918086fda2eaa737af2e5549a1d596a916507e0f9fb84abec832826f7cd	204080	3c5a2044e8140495b82963cbaaa99ef090bd5e51bed1ad79e9c4228a9eb29abb	115028
tracks.history.search.ordinary	292ebc53314fcefa95f1f53ca6fadb443bdd33fc53215e89158f559b2e1dd6b5	158829	a9e6f665ce4bf75878659f6832589294ea5bd038b3ab3fe70549ab924f2ea3d0	115924
