surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
platform.dialog.dark-on-light	ea0d83f2ecc73608a3d20f1e75a43ac008cecc3abf9e739e110f8144232c3659	181912	1af558d43c9a51b86b1409852685992023a799fd476b8888a4ab525637293e63	23964
platform.dialog.inspector-dark	7e388b2f95e6cc9d6c178cd507e485219e49c95e1a6233eaf77d0953e74cfef4	107887	58e7cad655019ffde2cc5b5c20bfa8751a23c428b709d922b839a37471a30c95	32861
platform.dialog.light-on-dark	529fec25c6ea35035a1c467a8db57b5d300bb06bad2fad25c17802b822f4115a	179493	1af558d43c9a51b86b1409852685992023a799fd476b8888a4ab525637293e63	23964
platform.dialog.primary-editor-dark	681b441ec3b96614ae0d3d31d87c7d96314a388128ececb5667f832ead16311a	163566	7bc83573468a76fe2740f3b67a7f5223c133f2f5f65515223598c6a9c47c3059	41309
platform.dialog.search-dark	808a1c7f57cd68b2b3e4138ff320a5ea8c5bfc552ffa00346f4a97118df41abe	62498	5f63fb5366f957f7f966ef020997cc37fe563b5d4ded5fee3b014bebdcaf184c	25614
platform.dialog.task-editor-dark	d4ab91a8ea709f05da1ad7bcbd681c3b8076726bf53bc581da1e69fbe981495a	156386	f47beb2e305b2b5e856407f5c3f0908172bb23bdf39deb9463e3513ad60c258b	41026
shared.global-add.menu	611deb0cc71add84fcd0d6230831b71e00416326884894ed88f45e92f19e0df8	162090	ea6109bed714c3cea13b1a62a05f2dc2dff34739d0a6dc8f87790256d4251eb4	19291
shared.review.summary	355ea4fb71de86aafe659549452248e1a461af3ffe8caaf2a645b5e1e6a7b229	104200	f87224112b181984bc36f201b48b522f2ba183b6e8d0fb44c3afabc1fe8ec602	34203
shared.search.empty	ebfc764e00cb2b90883731f2cb595baf59dc7fa55e8da644d5a8132842773c8a	139694	a157ac69513829f903521bab6b595c44efcac72162832d717a4479e1b0ebbe20	100350
shared.search.native-filters-large	630f0e81112fad8fff1c2ddefed666eefb54d7125f729fa2cccb1d18969d927d	177035	e7c12a4f308356873b4c736bd67b3a2ddbd5e3491bc1b47ee63b7d59e2760e06	109628
shared.search.native-large	0c6b1eedbc7b427c3176ae0353550ee6a2e38a8592b19ed38d2e8e4297e42918	163948	f3b1474889147f105d05eb84f4d5a4adf4dedc8d409fd0866fc3c216c4840d06	105068
shared.search.native-recreated-large	0de93dff4abb0b536d4677e10a6e52fedae916436d1e1641e06f66a9b7f11540	182978	3884d1f12014b283aa17623f0c56e89d2d36dfb5c20f9415b8ceb1d73d8c3b02	113186
shared.search.results	b1d7df5f4de158b0202338b7cda7065d8a696e5cf2ecc52ecef2cdb961f43b95	121586	72643ed41297fd67bfc0b2b0f3fc50605fc534b430c5842ec1c647630ee4c984	101178
