surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
organization.area-picker.menu	6d346a2ac06b968a9fd3ce78530b5a528bd15c2d000b8471fc1e05d6b1aa7f66	39572	3c1868cc88c853f2617a5196b63b56459a8cfc4801c6ce15ea3f72db2d7820c5	18467
organization.area.color	4b014a48f5a0c4567469dd1da4549c6d37788dce19dc93a74f0ecd8899161455	102574	16e5662740b18ae0a33094804e99d744e037d5d38d6c61f111695583189f604c	55031
organization.area.create	6ccac878f50c8dbae5b6929015dcfb146decd741dd8daf3631e124860d8013c0	99668	986587f62e0704a52df8c739ec1846fbc41b7d78b49180d3181a0067b230e46a	24870
organization.area.last-required	f86f8f5bea94929f78f24a54a4c41e92a1dbc781858e4c99cf440f7f64617524	58578	d1dbe9016b60c93f0d7bc0ed3a6bb248e6f68379aca278f9dce3421280ca3324	19886
organization.area.menu	ce1004f4c374e16c7726f0583047f812ffd1475e577939617add1729f386f4ce	120129	c621e02c3c55674aeca320254d5e39900042bcf18d6b1d06e082ea350f9b1831	20182
organization.area.merge	cb5902935ede752e7f4402c5e9029fe39d822a2ec1ba412f4c075846df63da1d	136420	a03cd9efbc9a3de28df161b3a3562aecdfeb8cfe8854f3c9f9cbab4a78f89ab9	21581
organization.area.move-items	dea8d7aafb77c605aaa21ea532ad62b6a8f854f296a2b3c9c088ab7ec61f0f9f	134197	ba5ca3689e190298f058850f2334f46d454972b4bb2e78c0cb2a7153471e4925	22861
organization.area.permanent-delete	092681ac65e006e18d567b27d74aeedf1713e5547760de7e5d5af0f9349c6c72	103025	13748ac522c79f2ef03276fada76e7c1a296ecd20b401388e063fb03dc2c651d	24324
organization.area.rename	ab30d534e3113c26ede8df8657a2f3dd42fce533742f39a2f8c5b282708ff432	108578	bdffd5569b5288fd48b5a3ac29c8fb4c9192b0b470e010b9c061c6cba8fd4559	21444
organization.areas.detail	2a62090e16f27619ef95e388c7b3d7750bc2f910d321753916010939f24b789f	134276	b1fb6a5105ae578e9303b496174f6a55ee65fe585d2865f6b17ebd33da467683	31190
organization.areas.list	7ac422a321fe50d8020583dfba3306f0cdc1107e4e309ad3170b57d30d1600b6	92672	5c872f075c70e8faacfeaa0277d81b6b7a410de69f76fd44506738593a3130fc	26369
organization.move-area.large	8c76a3ffd93b27f29f5f1e95674ad23f637c20c25d9479c1104f8afc08a26943	126189	e9c567ee0e3a6efa4644247410236674ebb4d3fb5c9638cdba2f836e415d6f97	29200
organization.tag.create	1c9aeec20f801a9081e597443544f7a01570cc8b912770eabc159987901125db	85278	f289f4ba82ba8af6749beb70ed655b69c0ed40d8908847bf285b9481779e3d78	21442
