surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
goals.editor.ime-large	209f81496f441d4cfa50320d5b02d759d8673f3e64d419f726abb2174367bed7	164422	6f892920c7e59f9ecf7b8bc9d378db5fce1bb1694868b459e85c749ee5af7d63	58391
goals.editor.large	55b7680285f71b827bad20b51b6a588be3966f563418310b3aee317fdaab5924	197483	9cade897b3dda4037e591dc2a93b4f430c615821c0d83c67f6229135c14f97cd	28895
habits.editor.ime-large	ab7171a5ad31f734cc8908d99da4243b7fb5300d447d5ed83cb7df88f34c9ee3	176574	595a66d1ad5f7929da999941bc4b0f08ae3bdc3f5a0eec57c1c778e42c9ca211	103029
habits.editor.large	61b608993304a1b910072bb6b1d28ce0d6480d4fdbdcdf37134e4e815ca2ee21	204567	2d400c9ce1ff20e412dc24a21e9c8d92c520e33815c0d089d9ced1196600805d	29798
platform.dialog.dark-on-light	c04075d66fd8199fe6f6b7f8171ad0d9a46cb5d658353d9c55c1954fb4e8f39a	181410	45668a93294879f6147eb2e941985c9d31e2c3b2c2750097b56f17dd97ef9910	23964
platform.dialog.inspector-dark	65bec804ad121f56918d6da071ff15a76419663de35281c889c102f9ac51d939	107196	bf9de8215b0b90909940fd06f42f71bf3d1b27f5f97f28c7565da7f4487e4365	32861
platform.dialog.primary-editor-dark	06b50663aafb344265de4d9aa42ed4a55567070012a8bc00470e2c31fa4b123e	163710	b2e30d1d24dd43c954aa8685dc5d0cd4f6416d60f513a6ad81f465ef6bb35098	41309
platform.dialog.search-dark	5869ba6071d9625c3770604f6be03bd77cfb97f3b1fc3e49e5ffb4c8e16e52e0	62440	f0e390cdad683d15877f38b615db2af665d5069b3c62da1dab856f625e3668a5	23797
platform.dialog.task-editor-dark	9dfc25a3d536f60a428507f1ad1b7cedec4c3bd01dd1295403049a3eb6ea9aab	155767	0f2e0dfcc98170ca1818eee4f5baee60702006a77ab29cc00a09204259becdd2	41026
tasks.editor.large	e9f570b3c65a159350418f0158e2002e1fe883e82c7d6d2ac2b07377cdca1c18	175520	19a0209440adc670a1ab72f667b87dcfbf6560fb2120a4903805c49fe41b2442	103850
tasks.editor.share-ime.large	5e11a67e7999c5bf64d60d3f8811bd5d5842c5d820c93ec08cc0b8ecce31a3db	194237	cc79fbe2981b49180152bea3c3136703fb6cb777aca9ac3ebe88d8d30ce8a665	103774
tasks.editor.share-ime.recreated-large	a9919b5be2f23a2ea419d7cca8dc3d14e8aee4e11c8bea546038b1e6d92b0e73	194192	cc79fbe2981b49180152bea3c3136703fb6cb777aca9ac3ebe88d8d30ce8a665	103774
tasks.editor.shared-large	e5c2d5f925ecd32cfe32122a23a87e97d20e7896b0c187f1d837d9982885f59f	202211	f18f791da1a49530c611a0cab4645a9bf2fc8268ad459debd59ae46fac1a4bb6	99063
