surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tracks.authoring.definition.large	b5415d8c4830b031faf741bbe0f83a4780ec4fb8d1e8a960d49d72b5aee5d238	120220	534d1a07000dfaef66dfd195ead06a7af20b41a316297c606dcab1f664a1bfc6	36239
tracks.authoring.definition.ordinary	51049da5012f37bf49ccfa6b180f47935daeb7b6add2df4fff162d7965de8072	119280	f9f0b259fbd56b76195eccc530f94650e19ecd9e4ececbc349c3f60bb3fe66b2	44972
tracks.authoring.entry-date.large	27765bb236cb837eb6b75e2e25987cb29159caa1362caed459552452c5e27b2f	173293	358e81ef1e4e6632a6f594546123519a84994a1c6f9fa708f08310c1e4b91670	37941
tracks.authoring.entry-date.ordinary	4a182056aedcec22020d8968f97054480268f34701134f1c25d78fb3a4f104d0	110468	14fb09814aaea026de44066762f84570a7df6b7a6a0467d8f8993d404ad1e145	66623
tracks.authoring.entry-number.large	47334a259b2d11a209929da31842e8385d25a91f800f6fa904a013c7d3784c72	126829	a7ab02ede86c354666a5be4d5e83f083cfcf6e6fd1aa026bfe67f38767a932d0	39236
tracks.authoring.entry-number.ordinary	f148fe4f0cfb4fb6b3cc4fd33287a94ca5b42dbc08f8f4971b759f0752d53993	111526	a9c8f8e1545815dd4bb7ebe080ac637d63e2a897eb9ccc94fc508abb24fbae58	46919
tracks.authoring.entry-reopened.large	208054e6b09712a63712445837ce517618506ea6b7d30c16337aea0838fe1df5	139525	bbb27a809720daa1bbaf7735a89a6dca61ebcd8c28459e02682a076aaf831220	31541
tracks.authoring.entry-reopened.ordinary	8324ea7c0edd619f2adb13fde5c120311d7d8083f1c756185d93223574944e31	141458	9f49cecf1674a1a696a52a4aa4ae357bfff014757f16c959ffd450791fad7440	41007
tracks.authoring.entry-types.large	c331a0e14b62cc734e43348f3abc1958f979b38790c4ddb60078bec0559b46b2	144292	1eda5cbdf9e91bea97c5476b94941afb76aa1b90fcd75c4d5f4ce0c7e2fa84f7	40443
tracks.authoring.entry-types.ordinary	ac1edd1aacc2d427d09ba13dd025ab6b0238c72902b4573cd11bad1c15dd34d5	111620	4e3fff8cbaa12ba613bec720702543a5dc48c2af914b209b3c7eca3692226793	45159
tracks.authoring.entry-validation.large	d0e07af2791e221ef5c2fdc34bc0c9de113aef7c7017aab70abdfa3e3cf02032	160740	262e8ca0d048a01eb826eea780aa484c00ac038aa2cb5c0767ecada3371851ae	31228
tracks.authoring.entry-validation.ordinary	51e6ac428f1a621d19cd599af506b7d3520c5deaec5ec250da87a88d1e4bd095	126897	3df2ff0fec18de161238ac04beefc45893c7f02dbaa619e73a572e6e93833abc	40229
tracks.authoring.field-choice.large	75be93da88d6f70c168f9f59f83b188e9ae33dbd4d5202e8917a5b5aeb9fd789	137612	d298bc07cbb43eb548134dac106a2b21dc31f27a05c8d0259d2abcfb75503603	32222
tracks.authoring.field-choice.ordinary	d0b7aae553ca14f27bba363701916ff855f67d691cfd962a20091b0acbefe508	155946	2bbe60464f2cc4a8dd3ca6fa8d97417dabb7af276f817faa22fe7ced70999f7e	36961
tracks.authoring.field-number.large	95a02fe80741c3c40bdbb9ff8ff5d356960a1e9b68a9f9ba2374cb245833447d	161807	3aea7e8b4d25eaee881b5b3cf883ee41241a82124997a244de7c514b7e72b47c	101651
tracks.authoring.field-number.ordinary	cdc73ee9e536c2485eea2e0c55389aed00e582ca74223a970c865699d663fcea	154775	0aa49336a7ba77dc01669d6bfbf99e75c3c21092d4ff79564acd298b42ecacda	103346
tracks.authoring.field-scale.large	660aea9e1004f2b349bff43c74eb153813c02d58a70d71b4cab20f176e4aebb4	148227	6ad5fe9affbbd63304eb21948ab5a88a14338d7091b43f321ab44daa05a8cb80	26614
tracks.authoring.field-scale.ordinary	563899700390978d2ac8f05c120e693c9dce0d7718ddae5f9c6491a7f5a6476a	136807	e51085f0a07ffcf6a060e4f44204932c2404dc8174e7e8ed3ee0e906f1bbb2e4	33498
