surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tracks.authoring.definition.large	e681116bbac67a94b2d59e023ff54c07e7e8fbe80bc5818bdf871771fb5dcda0	121814	2befb988ea412efb99ef24b3c646be4859484075baf0c0319ad7f2ae41561dfa	36239
tracks.authoring.definition.ordinary	837b5e65c238fa203870d548d5998c4c828b31c0f61b7b66dad6ecc3809f71b3	120011	e46486472f69d147472fcde23a05a6e805aee0698d922ace7961794aae701788	44971
tracks.authoring.entry-number.large	82966e62b38cddc65dfd8dfe579b922dd3cd12aa929243f86be38c8ce8940035	128387	f7a9170c5cd5b9606779b30d66d349eb20d2cddfab14c3f680e07ba8672b1670	39236
tracks.authoring.entry-number.ordinary	582147ad8a7bd6099e4df07e8490d5dcbe312909debe2de002ebd2091e1b738a	112295	573d5a10e0eaa4843a2d1edde58f9c47c158bb4e61b27ded896ccb103997c3dd	46919
tracks.authoring.entry-reopened.large	69da40024e0b8f698f115691ce73d003756084c162d3d6fea426b8733b8e6b44	141186	7fbfc501767dc55eb0ac4c1ecb2d6880ae9938490dd345761f68ac29cfc0c44c	31541
tracks.authoring.entry-reopened.ordinary	9dcd2d342b1718d3bd127f21aaa9eef9f99d26d2f9e5e17fd6a131010a71104e	142101	e94fa15f95befe0ff55f9d02d26d844aab20c6824a259102a0a390a8317e28be	41007
tracks.authoring.entry-types.large	e233dbf110d2d64ec4575d82a3155c1bf6b59de312de3d026f452a7ecade4bd2	145946	394df4a4f9d4c546e5208a1b3916a74eacf873276f9e03f47e71aa3805de4509	40443
tracks.authoring.entry-types.ordinary	da2bcd6b281b56a82b9bd462ac69ecf5824e185dd5143b74400be28e071e15ba	112224	e7d6b5a6c01fc35eb2ae79094aabf45c1f4c93ddd9a1bd863466b010cb34112d	45158
tracks.authoring.entry-validation.large	d6354ab10f109bf1febef3ad5c4e7d7e214988c951b1d0dc47571db5b620e666	162544	7f588bd0ba249bcbe13c274483e99b37ddf4f1f675ee1a22ec57522c2f8d0871	31228
tracks.authoring.entry-validation.ordinary	083ca5fd5270044a033874741b5486e407271f2e260745975fb1bab929ec1f3f	127598	dcc10ba7d99d7f890833093b118b8504380b237beadfae820f7fe0289d9d0de5	40228
tracks.authoring.field-choice.large	c9c87671cccf05d287123e72e91e0de20344dd69d3a2763a5a6334094d243815	122974	3b53d33bb309d0108e3e2e522141fc281ae9de9acb14ecf70ffcc1d660cbfc26	32652
tracks.authoring.field-choice.ordinary	2e45c1c9888aad787ab030c0ddc6bae21a0721943d53757798dcbf74866bb42c	155386	bd1d53292dfdfcfee43d7c3d2095c69701bc269835cfaa8acc5ad08af9595e43	37389
tracks.authoring.field-number.large	9bee681da8a26b342cd57dea3319ee7a3d4a1085c20e31519c04bf0df698ba71	169124	7616165b255dcbe62c0f333b581ec08552688cd7e18ccf9cfaa006b1d23e9765	102084
tracks.authoring.field-number.ordinary	83f5f6ad6af5a0789eef9312f3c35775d30b863b8def7c75e7ce7bb3be2a1678	155232	d2c14565bd3f917dae9138ee5d17602789a357767891c1d50a776314dd374425	104204
tracks.authoring.field-scale.large	2541903ba1cbdbd1d181cb82f0277ad848d67b36c14b6d1e4331695dc96d73db	139019	16e9b938e878ad476e4b2e19ccfc59acbaf2bf235b084e5373f1bbadd7fb0d4c	27471
tracks.authoring.field-scale.ordinary	dcf06d7dac6231ba4df84c87c93bd1032ee2efc2b15d6474def7b73d33328d58	138247	967cd78e44a882727a36f37e778f06ee89653f73294676f1b30159c5b93b4914	34350
