--------- beginning of main
09-09 16:56:29.504 I/WhipDraftState(19436): acceptedChars=600008; activityStateBytes=1233552
09-09 16:56:29.504 I/WhipDraftState(19436): stateKey=@android:autofillResetNeeded; bytes=84
09-09 16:56:29.504 I/WhipDraftState(19436): stateKey=android:fragments; bytes=392
09-09 16:56:29.504 I/WhipDraftState(19436): stateKey=android:lastAutofillId; bytes=72
09-09 16:56:29.504 I/WhipDraftState(19436): stateKey=android:state; bytes=52
09-09 16:56:29.504 I/WhipDraftState(19436): stateKey=android:viewHierarchyState; bytes=212
09-09 16:56:29.515 I/WhipDraftState(19436): stateKey=androidx.lifecycle.BundlableSavedStateRegistry.key; bytes=1232648
09-09 16:56:29.515 I/WhipDraftState(19436): stateKey=whip.launch.delivery_counter; bytes=88
09-09 16:56:29.515 I/WhipDraftState(19436): stateKey=whip.launch.pending_requests; bytes=88
09-09 17:01:24.096 I/WhipDraftState(19950): acceptedChars=600008; completedSessions=3; activityStateBytes=1830080
09-09 17:01:24.096 I/WhipDraftState(19950): stateKey=@android:autofillResetNeeded; bytes=84
09-09 17:01:24.096 I/WhipDraftState(19950): stateKey=android:fragments; bytes=392
09-09 17:01:24.096 I/WhipDraftState(19950): stateKey=android:lastAutofillId; bytes=72
09-09 17:01:24.096 I/WhipDraftState(19950): stateKey=android:state; bytes=52
09-09 17:01:24.096 I/WhipDraftState(19950): stateKey=android:viewHierarchyState; bytes=212
09-09 17:01:24.110 I/WhipDraftState(19950): stateKey=androidx.lifecycle.BundlableSavedStateRegistry.key; bytes=1829176
09-09 17:01:24.110 I/WhipDraftState(19950): stateKey=whip.launch.delivery_counter; bytes=88
09-09 17:01:24.110 I/WhipDraftState(19950): stateKey=whip.launch.pending_requests; bytes=88
09-09 17:01:33.711 I/WhipDraftState(19950): acceptedChars=600008; completedSessions=0; activityStateBytes=1233552
09-09 17:01:33.711 I/WhipDraftState(19950): stateKey=@android:autofillResetNeeded; bytes=84
09-09 17:01:33.711 I/WhipDraftState(19950): stateKey=android:fragments; bytes=392
09-09 17:01:33.711 I/WhipDraftState(19950): stateKey=android:lastAutofillId; bytes=72
09-09 17:01:33.711 I/WhipDraftState(19950): stateKey=android:state; bytes=52
09-09 17:01:33.711 I/WhipDraftState(19950): stateKey=android:viewHierarchyState; bytes=212
09-09 17:01:33.720 I/WhipDraftState(19950): stateKey=androidx.lifecycle.BundlableSavedStateRegistry.key; bytes=1232648
09-09 17:01:33.721 I/WhipDraftState(19950): stateKey=whip.launch.delivery_counter; bytes=88
09-09 17:01:33.721 I/WhipDraftState(19950): stateKey=whip.launch.pending_requests; bytes=88
09-09 17:23:51.458 I/WhipDraftState(20697): acceptedChars=600008; completedSessions=3; activityStateBytes=26760
09-09 17:23:51.459 I/WhipDraftState(20697): stateKey=@android:autofillResetNeeded; bytes=84
09-09 17:23:51.459 I/WhipDraftState(20697): stateKey=android:fragments; bytes=392
09-09 17:23:51.459 I/WhipDraftState(20697): stateKey=android:lastAutofillId; bytes=72
09-09 17:23:51.459 I/WhipDraftState(20697): stateKey=android:state; bytes=52
09-09 17:23:51.459 I/WhipDraftState(20697): stateKey=android:viewHierarchyState; bytes=212
09-09 17:23:51.461 I/WhipDraftState(20697): stateKey=androidx.lifecycle.BundlableSavedStateRegistry.key; bytes=25856
09-09 17:23:51.461 I/WhipDraftState(20697): stateKey=whip.launch.delivery_counter; bytes=88
09-09 17:23:51.461 I/WhipDraftState(20697): stateKey=whip.launch.pending_requests; bytes=88
09-09 17:24:01.563 I/WhipDraftState(20697): acceptedChars=600008; completedSessions=0; activityStateBytes=28652
09-09 17:24:01.564 I/WhipDraftState(20697): stateKey=@android:autofillResetNeeded; bytes=84
09-09 17:24:01.564 I/WhipDraftState(20697): stateKey=android:fragments; bytes=392
09-09 17:24:01.564 I/WhipDraftState(20697): stateKey=android:lastAutofillId; bytes=72
