surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tracks.authoring.definition.large	f92e11e02b3ee9c2a10325f3133f7fe471caabd5f2979946f076633b11bb4842	140108	c21e83ddc9a342a6a62df9e5a73d87b9b9d940b4edd1a8b2e582d74455316700	33258
tracks.authoring.definition.ordinary	d68b672f3c53b610898a913f69cef47fc9810332236756dfd711a67a80348064	136923	1b3ed21fbef03b801628f1e7ae2c012d7a1cc615849ec523a492db73437baad3	45348
tracks.authoring.details-reopened.large	68c80fccd81303db185ebab2df43c4caba13c6c42e19a7aab342eb2c2302e0be	136118	8084c660756f41d44a7f30f21961880f65a397be2809066da863e4e5ea12a1b5	33662
tracks.authoring.details-reopened.ordinary	1462586897dc7449fd8242f58f08d0044a58fd42d7fd12834733f002c509d1b2	146609	3c2ac5ea7cb5f73dbce87cd5452c67ece2216d12ab292b9db68474999950fe67	35938
tracks.authoring.entry-date.large	fad706d420ab0acad005571ca24a7a52bb54c81340b1289eb6975b14510c0937	177194	fb9d590de8c39ee3e595a42c6bbd9af8fb9485e0379c44ee77ee76f8f12088d0	37941
tracks.authoring.entry-date.ordinary	aa45a24a1810408a3ff7a1cc5436ae21bf5cbfc9fdf42e00e6b297ceef1da160	110621	4a36c2bfe47fc43d83d093e26658c60b1b2a7f92951b3f17dd88493ebd206360	66623
tracks.authoring.entry-name.large	d015d43db858e199160cf20cb98329abf09e19c49884076bc1a2ac75656573b7	179611	5b26750eab755604d0badee1ddd65c9db7c946d29e84bb5079434e1d1c8e5625	104470
tracks.authoring.entry-name.ordinary	2d26226f524db0f17011d19e99c0947802d7768bcc134c516eac26b9876d24c0	155011	87631be32e7f361af677c7499e54967f4874f137ee112f8712a63270689be218	109667
tracks.authoring.entry-number.large	4022b554cf64dd89949ee08d34dbf5cf982d7f486653c136408b64bf5f852882	128176	bee56ae4c3b2c94bb0a096ad082ba1d0f586c6b0c4b7a6b8608b0dd76dcceedb	39235
tracks.authoring.entry-number.ordinary	a8afbc82d36219f7e910a189861fe1bde173f1f7095ff18439fdb5219805f3db	111818	4b38f7e4a329f857e644a3966403a9bb70296cee6ed379655f2bb2c661dee95d	46919
tracks.authoring.entry-reopened.large	ef57cc416af9d7c060b054dee8f4af79daa9f8b6e80a709acc3d2172ea01997b	127518	43fd9fd2b46ed31c0b6380f2eed4791140dee66ed8f2d64f23b26f4215a79653	37046
tracks.authoring.entry-reopened.ordinary	115e961e0130171f6540a6e7469fb0de46cf6d1cb95554084fc927b337e27769	124567	9235938cbdce0ca83adcac7b7ab5132f8df5103fad86ad4429ceedc171f899db	42643
tracks.authoring.entry-start.large	269021dee74ed3b5543c7609d5f9aafe747088dfae339bbb86e41ea0140c086e	125442	76802215b00ce8de15d778167fdcc3bffa9e881cf1e50ecbbc803335956bf629	37029
tracks.authoring.entry-start.ordinary	337f9bb9c209f648a93da6f0e4a7c31fff356ef612fab9329ca38a2d4c7cc323	98224	05c56ee86df7849617e2a43f355f992cb462e97748759e07f1790770ff4c80a6	41683
tracks.authoring.entry-types.large	7b2967980e291f03e4eff7525ad3b2815ba3365dbf60e1b174b559c3b869cb36	157293	2f8f5e9009eba7a80f640f6cf48f3d5b3eaee5ed59f65ae10ffa95bf7e6b72da	35315
tracks.authoring.entry-types.ordinary	6bcb9ec83c00093992b55c368ac3a86038d4936f4d53dfe221cac9601031caf6	111777	15e36f46268ecae536b490c0362b2eb57d42e789c40cf2c0ccc3b0090e603b3c	45159
tracks.authoring.entry-validation.large	29aa0f3405acfe5544d84f0ea9da26a093ba0103da1ebc21fac59eec55666fd9	151476	51b23a4fdcfd299368feb1e9dc1bf0676077dbe84a962ba40bbcd7b3c76c0a9d	33336
tracks.authoring.entry-validation.ordinary	e0f5cf8a85e29164ea44a9af923f4760f5801ff4bd9cd87e2ac2cd9399415a45	122020	090fb7dcde0ddf3b5d27c9dafb3a1a21642f93e0cc90d9e6a4c0bcf5e6d22c14	41864
tracks.authoring.field-choice.large	b85802769a6a44f2ddc99ce749e94dffae191af89caa5430ae47c55f382def66	144033	906147ceb5552cf4c729325f1874f71fb415710b7598612bccbb9b8150f89098	32222
tracks.authoring.field-choice.ordinary	872990341edae582f5248d1c1163aa5f8e54e68cff9f2fa6287892f3cb993749	159840	5dc366b7e3d8f3cabb437f41db94d492dec566269dcd14f1b0217cd00ad27735	36961
tracks.authoring.field-number.large	ac23a3f0fe35ada37e41537afdfa4ee9e4acb809b5cc9cca08cf073fe7186761	163118	596b4dd51d6f80e9591ec2326995cdfdb323b56d9cc39980cfca827511b6d0eb	101651
