suite	tests	failures	errors	skipped	xml_sha256
com.whip.app.core.AppSettingsTest	13	0	0	0	55f29a27507a8a19ff9c31767737319d54015a970aa54b073a4ed6b4eb196692
com.whip.app.core.HabitTimerClockTest	1	0	0	0	ba1cac77732e3c543ad17f21a51daefa4a62e940905e6aeec65dfc1afd5da18b
com.whip.app.core.SettingsCauseEffectContractTest	1	0	0	0	d316e61868531a4ef98ce8beb80214ec41b6b8cb6e6c24df95727fdaa9ef743b
com.whip.app.data.PortableBackupPolicyTest	4	0	0	0	2f61e32646b5969e75ee07f2dff399ba40ca50914db098d088d23c93a83c230d
com.whip.app.data.RoutineProgrammingTest	5	0	0	0	fd51ec5752e2e74f239223551113e7054b704af2a06f4b8708716abfe8f7dec5
com.whip.app.domain.FiveThreeOneProgressionTest	11	0	0	0	e91c389cb1dbccbb17959d6786e392cca8048513414b35f753b788356167060c
com.whip.app.domain.GoalRulesTest	17	0	0	0	3cfc1523479320491d48951e9f893fe26de779d95c6e229ceaed82d30711c930
com.whip.app.domain.GymAnalyticsTest	15	0	0	0	f7f8f3237a24f37ea22155f667960cd10c9a48564f0ce65a88a94c880b2bc3ea
com.whip.app.domain.GymCalculationsTest	11	0	0	0	74856fecd6480915d4998e8907ef010197ef4ba7ca2f39afeb6acd472229629d
com.whip.app.domain.HabitRulesTest	24	0	0	0	ee376793efa6dd080573d28b3cfbefa1d9d2c0df7dd46b146d12ab7d4bb1b41c
com.whip.app.domain.HabitTimerDomainTest	3	0	0	0	c8eb24d91482a093155f84ea33fee9b1693184a966f94400eecb9a92febf6972
com.whip.app.domain.RecurrenceEngineTest	10	0	0	0	a9b791e0daad6be1b164296e37a6dcba917623fc313f9738df194b33d647c30e
com.whip.app.domain.TaskProgressTest	4	0	0	0	d9d8625bb17baa48f5c2792569d824062a7d26496df8e039947bcd6f67f242fa
com.whip.app.domain.TaskQuickCaptureParserTest	21	0	0	0	42c9586bfad3eea739c3d4d93a6984720ab65ff7f5bc987d924a7467ce0432e9
com.whip.app.domain.TrackCsvBatchIdentityTest	9	0	0	0	c94a0e03e5c0edbe7bfa0638b782d490ad3f73399224cde52e979f6e5f1422a5
com.whip.app.domain.TrackDomainTest	9	0	0	0	a37695b55a98d21d2fe7e94095987900c796ded0a790c4ca4dbab3b448e0849e
com.whip.app.ui.ElapsedGoalPresentationTest	1	0	0	0	ccedf390e7a296fb4a9ed951ada03d8b153f9001b5539ff7fe64ec9e8dccb471
com.whip.app.ui.FiveThreeOneCycleReviewTest	9	0	0	0	8b1e0c3cfda03a36beb6583f4adf7cf7bc4c2b1b11f7aab8e168c8b7ba0b159e
com.whip.app.ui.GoalMutationCommitTest	2	0	0	0	37c1f5e6d2beccc36b9dea0ab44dcad9244b015851ec604158fde100cea0ede8
com.whip.app.ui.GymQuickSetFlowTest	5	0	0	0	495e7e7a04e0c2e81cb83e22280f9db751dd57e50138ccc81a8feb5663d62334
com.whip.app.ui.GymUxRulesTest	18	0	0	0	ea2ca03943a265d74ad46297fea69b6f50d79a6252688a971428fe9abd8f6085
com.whip.app.ui.HabitMutationCommitTest	2	0	0	0	75eaeaeab3d9988be559e7e71b79396adccc5771b8b505c2e64ff0a4b098e8ed
com.whip.app.ui.HabitTimerPresentationTest	2	0	0	0	24e0697a47530b4fb06333ba73c8b2ecdaf6b17afa6cb5abaa1c4e702615fc9e
com.whip.app.ui.InteractionConsistencyTest	8	0	0	0	6fbbe45fb9d53ca3b9f51477c922e1e47ecacbadfdc72a97ddfede200930eb7e
com.whip.app.ui.RoutineBuilderStateTest	35	0	0	0	6f46084767de75bbe988ee9d23cdd5dff84ae967876d0b849de2c1f9cc47ea14
com.whip.app.ui.SettingsPresentationPolicyTest	7	0	0	0	cbff4a506fba51e4ba51187248ba18593fc08708f2f2e724c066d84f4f70e0ac
com.whip.app.ui.TaskMutationCommitTest	2	0	0	0	5581c2b218f4d7f1fe0e2f6b3dc79f426556ed046dcb398c230aeddbe0181333
com.whip.app.ui.TaskWorkspacePolicyTest	15	0	0	0	5315250f0b5ecd34f1e1d2a484d54ce1e765942eccd4041ae55655d81742a72e
com.whip.app.ui.TrackCsvReliabilityPolicyTest	21	0	0	0	0c7cbefcfc974e50067e89e915c032414026630c0b1da6e02e3a32c7b933b188
com.whip.app.ui.TrackEditorStateTest	13	0	0	0	b4f2cf78d2d7b33c84aaf3be42e325a0e4ad556844ba9a9f34a12a29b2c464df
com.whip.app.ui.TrackInsightNumberFormatTest	5	0	0	0	24cdbc156058c8f47065d2982409ed7750aaf48f2c6ea4dddb687121427b3ce3
com.whip.app.ui.UiDesignArchitectureTest	17	0	0	0	e6f136d0542ee225a7b822f52789806a44245cb19739e2dcbb496bd6c901696b
com.whip.app.ui.UnifiedSearchRulesTest	12	0	0	0	7040b8422667fb67bf3009dabfcd3a972b24af48a33014f96c61a6177172206d
com.whip.app.ui.WhipNavigationPolicyTest	11	0	0	0	34e5760f6ceb499163584413d07c93ad92274cfb107f796162184855a606c156
com.whip.app.ui.theme.WhipVisualLanguageTest	6	0	0	0	166daf109d1f10bb99518272a360cf4503963eb7422b8fe5db473e7f3a03a0d8
