source_key	family	discovery_kind	owner
call:AreaManagementDialog.AreaManagerRow.menu-001	organization	menu	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaManagementDialog.LastAreaRequiredDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaManagementDialog.MergeAreaDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaManagementDialog.MoveAreaItemsDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaManagementDialog.PermanentAreaDeleteDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaManagementDialog.RenameAreaDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaManagementDialog.error.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaManagementDialog.kt
call:AreaPicker.AreaSelectionDropdown.menu-001	organization	menu	app/src/main/java/com/whip/app/ui/AreaPicker.kt
call:AreaPicker.submitCreate.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/AreaPicker.kt
call:EditorProtection.UnsavedChangesDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/EditorProtection.kt
call:EntityInspector.EntityInspector.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/EntityInspector.kt
call:FirstRunSetupDialog.FirstRunSetupDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/FirstRunSetupDialog.kt
call:FiveThreeOneBuilder.applyPreview.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/FiveThreeOneBuilder.kt
call:FiveThreeOneCycleReview.FiveThreeOneCycleReviewDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/FiveThreeOneCycleReview.kt
call:GoalScreens.GoalAreaContent.menu-001	goals	menu	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GoalScreens.GoalPermanentDeleteDialog.dialog-001	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GoalScreens.GoalTemplateDialog.dialog-001	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GoalScreens.requestDismiss.dialog-001	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GoalScreens.requestDismiss.dialog-002	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GoalScreens.requestDismiss.dialog-003	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GoalScreens.requestDismiss.dialog-004	goals	dialog	app/src/main/java/com/whip/app/ui/GoalScreens.kt
call:GymScreens.ConfirmationDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.DefaultsMeaningChangeDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.ExerciseCategoryContent.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.ExerciseComparisonField.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.ExercisePermanentDeleteDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.ExerciseSelectionField.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.MachineChoiceDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.MachineLibraryContent.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.MachinePermanentDeleteDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.RestDurationDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.RoutineContent.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.RoutineContent.dialog-002	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.RoutineContent.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.RoutinePermanentDeleteDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.RoutineProgramPositionDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.WorkoutEditorDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.WorkoutExerciseCard.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.WorkoutHistoryCard.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.WorkoutPermanentDeleteDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.WorkoutSetActionsMenu.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:GymScreens.allocationFor.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/GymScreens.kt
call:HabitScreens.HabitHistoryLogDialog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitHistoryLogDialog.dialog-002	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitList.menu-001	habits	menu	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitPauseDialog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitPauseDialog.dialog-002	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitPermanentDeleteDialog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitTemplateDialog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitTimerReviewDialog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.HabitValueDialog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:HabitScreens.latestPeriodLog.dialog-001	habits	dialog	app/src/main/java/com/whip/app/ui/HabitScreens.kt
call:IdentityEmojiPicker.useCustom.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/IdentityEmojiPicker.kt
call:ItemControlPatterns.DisclosureRow.menu-001	shared	menu	app/src/main/java/com/whip/app/ui/ItemControlPatterns.kt
call:ItemControlPatterns.WhipOverflowMenu.menu-001	shared	menu	app/src/main/java/com/whip/app/ui/ItemControlPatterns.kt
call:ItemControlPatterns.selectDestination.menu-001	shared	menu	app/src/main/java/com/whip/app/ui/ItemControlPatterns.kt
call:LaunchQueueOverflowDialog.LaunchQueueOverflowDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/LaunchQueueOverflowDialog.kt
call:PendingTaskEditorLaunchDialog.PendingTaskEditorLaunchDialog.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/PendingTaskEditorLaunchDialog.kt
call:PermanentDeleteDialog.PermanentDeleteDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/PermanentDeleteDialog.kt
call:ProductivityEditorComponents.ClockPickerButton.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
call:ProductivityEditorComponents.ClockPickerDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
call:ProductivityEditorComponents.ProductivityEditorDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
call:ProductivityEditorComponents.WeekdayReminderEditor.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/ProductivityEditorComponents.kt
call:RoutineBuilder.ClassificationSelector.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.QuickMachineDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RepPrescriptionSchemeDialog.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RepPrescriptionSchemeDialog.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RoutinePlacementCard.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RoutinePlacementEditor.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RoutinePlacementEditor.menu-001	gym	menu	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RoutinePlacementEditor.menu-002	gym	menu	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RoutineProgramStructurePage.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:SettingsScreens.BackupRestorePreviewDialogs.dialog-001	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
call:SettingsScreens.CustomIdentityEmojiDialog.dialog-001	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
